CN100365170C,,未缴年费,,四方型结构SnO2单分散纳米单晶及合成方法,,,,2005/12/1,2008/1/30,华中师范大学,,华中师范大学,,,,,,,
CN100365852C,,授权 | 无效程序 | 许可 | 权利转移 | 口头审理,,锂离子二次电池负极使用的石墨粉及制备方法,,,,2004/1/21,2008/1/30,洛阳市冠奇工贸有限责任公司,,洛阳市冠奇工贸有限责任公司,,,,,,,
CN100365863C,,授权,,一种锂离子电池负极成膜功能电解液及其制备方法,,,,2005/5/23,2008/1/30,华南师范大学,,华南师范大学,,,,,,,
CN100366532C,,未缴年费,,一种硅/氧化硅核壳结构纳米复合材料及其制备方法和应用,,,,2006/6/8,2008/2/6,复旦大学,,复旦大学,,,,,,,
CN100366543C,,未缴年费 | 许可,,锂离子电池正极材料用尖晶石型锰酸锂的制备方法,,,,2006/6/16,2008/2/6,南京航空航天大学,,南京航空航天大学,,,,,,,
CN100367543C,,授权,,一种锂合金复合材料及其制备方法、负极材料、负极结构体及锂二次电池,,,,2004/8/17,2008/2/6,比亚迪股份有限公司,,比亚迪股份有限公司,,,,,,,
CN100367546C,,未缴年费,,锡基氧化物薄膜阳极的制备方法,,,,2005/4/5,2008/2/6,河南科技大学,,河南科技大学,,,,,,,
CN100367547C,,未缴年费,,用于锂电池正极材料的碳杂环或取代碳环多硫化物,,,,2002/6/5,2008/2/6,中国人民解放军63971部队,,中国人民解放军63971部队,,,,,,,
CN100367562C,,未缴年费,,以硒化银薄膜为阳极材料的薄膜锂离子电池及其制备方法,,,,2006/1/5,2008/2/6,复旦大学,,复旦大学,,,,,,,
CN100368463C,,未缴年费,,一步法合成双亲超顺磁亚微米无机物/聚合物复合空心球,,,,2006/4/7,2008/2/13,吉林大学,,吉林大学,,,,,,,
CN100369301C,,未缴年费,,一种用于二次锂电池的铬基负极活性材料,,,,2004/11/12,2008/2/13,中国科学院物理研究所,,中国科学院物理研究所,,,,,,,
CN100369314C,,授权 | 保全 | 权利转移,,磷酸基锂离子电池的制备方法及其制备的电池,,,,2005/8/8,2008/2/13,北京环宇赛尔新能源科技有限公司,,北京环宇赛尔新能源科技有限公司,,,,,,,
CN100369809C,,授权,,一种碳绒球材料及其制备方法和用途,,,,2004/12/14,2008/2/20,中国科学院物理研究所,,中国科学院物理研究所,,,,,,,
CN100370644C,,授权 | 质押,,锂离子电池正极材料及其制备方法,,,,2005/11/17,2008/2/20,广州鹏辉能源科技股份有限公司,,广州鹏辉能源科技股份有限公司,,,,,,,
CN100371057C,,授权 | 权利转移,,一种用于生产聚烯烃类微孔膜的萃取方法,,,,2006/3/22,2008/2/27,深圳市星源材质科技股份有限公司,,深圳市星源材质科技股份有限公司,,,,,,,
CN100371239C,,未缴年费,,微波加热制备高密度磷酸铁锂的方法,,,,2006/3/20,2008/2/27,清华大学,,清华大学,,,,,,,
CN100371256C,,未缴年费 | 许可,,一种锂离子电池用系列纳米锂锰氧化物的合成方法,,,,2006/1/26,2008/2/27,合肥工业大学,,合肥工业大学,,,,,,,
CN100372158C,,未缴年费,,钠离子电池,,,,2002/4/4,2008/2/27,瓦伦斯技术有限公司,,瓦伦斯技术有限公司,,,,,,,
CN100372774C,,授权,,过渡金属复合氧化物作为中间产物制备锂离子电池多元正极材料的方法,,,,2006/3/16,2008/3/5,中国科学院上海微系统与信息技术研究所,,中国科学院上海微系统与信息技术研究所,,,,,,,
CN100373664C,,未缴年费,,高容量锡镍合金复合物锂离子电池负极材料的制备方法,,,,2006/4/7,2008/3/5,北京科技大学,,北京科技大学,,,,,,,
